total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_python_time,run_time_original_mip,run_time_callback_mip,run_time_total,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.13960283241694,121.13960283241694,122.0,0.007102525907843055,0.01267695426940918,0.01,0.03,0.07,0.01,0.11,24.0,2,2,2,2,2,"2,14"
120.69387008774929,120.69387008774929,122.0,0.010821841335447294,0.0132598876953125,0.01,0.01,0.1,0.01,0.12,24.0,2,2,2,2,2,"9,14"
121.14848166246648,121.14848166246648,122.0,0.0070287165455853355,0.013345956802368164,0.01,0.03,0.02,0.01,0.060000000000000005,24.0,2,2,2,2,2,"7,15"
120.73458806596435,120.73458806596435,122.0,0.010480939673594498,0.013257980346679688,0.01,0.01,0.05,0.01,0.07,24.0,2,2,2,2,2,"14,15"
121.01659738590136,121.01659738590136,122.0,0.008126179675691368,0.012883901596069336,0.01,0.03,0.02,0.01,0.060000000000000005,24.0,2,2,2,2,2,"7,25"
120.81106325995869,120.81106325995869,122.0,0.009841290259013652,0.012655019760131836,0.01,0.03,0.02,0.01,0.060000000000000005,24.0,2,2,2,2,2,"8,25"
120.95394517475927,120.95394517475927,122.0,0.008648372930121025,0.012846946716308594,0.01,0.03,0.02,0.01,0.060000000000000005,24.0,2,2,2,2,2,"4,18"
121.47142770493267,121.47142770493267,122.0,0.004351412550705293,0.012577056884765625,0.01,0.02,0.21,0.01,0.24,24.0,2,2,2,2,2,"4,6"
120.97656653823398,120.97656653823398,122.0,0.008459766143574323,0.013057947158813477,0.01,0.03,0.02,0.01,0.060000000000000005,24.0,2,2,2,2,2,"6,22"
120.74505760670134,120.74505760670134,122.0,0.010393323074028776,0.012437105178833008,0.01,0.01,36.06,0.01,36.08,24.0,2,2,2,2,2,"24,25"
120.3523602057613,120.3523602057613,122.0,0.013690132801897695,0.013287782669067383,0.01,0.03,0.07,0.01,0.11,24.0,2,2,2,2,2,"14,17"
121.02709971568672,121.02709971568672,122.0,0.008038697833780962,0.012810945510864258,0.01,0.03,0.07,0.01,0.11,24.0,2,2,2,2,2,"2,17"
120.83171055465701,120.83171055465701,122.0,0.009668732156320244,0.012979984283447266,0.01,0.02,0.02,0.01,0.05,24.0,2,2,2,2,2,"9,25"
121.18295194001703,121.18295194001703,122.0,0.0067422689982613,0.012638092041015625,0.01,0.03,0.16,0.01,0.2,24.0,2,2,2,2,2,"4,9"
120.56071967632076,120.56071967632076,122.0,0.01193821940963355,0.014167070388793945,0.01,0.02,0.02,0.01,0.05,24.0,2,2,2,2,2,"8,17"
120.72570689226937,120.72570689226937,122.0,0.010555275595675364,0.013455867767333984,0.01,0.02,0.26,0.01,0.29000000000000004,24.0,2,2,2,2,2,"16,22"
120.9429475365238,120.9429475365238,122.0,0.008740091795406055,0.012977123260498047,0.01,0.03,0.02,0.01,0.060000000000000005,24.0,2,2,2,2,2,"8,15"
120.03307831864768,120.03307831864768,122.0,0.016386497029850376,0.01414799690246582,0.01,0.03,54.1,0.01,54.14,24.0,3,3,3,2,2,"7,16,18"
