total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,run_time_original_mip,run_time_callback_mip,run_time_total,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
110.4357896,110.4357896,113.721959,0.029756381,5.034807205,5.04,108.04,5.04,113.08,24,9,10,10,2,2,"4,8,9,10,12,16,18,22,25"
112.6408147,112.6408147,116.0111415,0.029921009,0.476834059,0.48,108.04,0.48,108.52,24,9,9,9,2,2,"2,4,7,10,14,15,17,18,25"
111.9701071,111.9701071,115.3042794,0.029777343,0.732014894,0.73,108.05,0.73,108.78,24,9,9,9,2,2,"2,4,7,10,14,15,17,19,25"
111.8794864,111.8794864,115.2296916,0.029944768,1.811655998,1.81,108.02,1.81,109.83,24,9,9,9,2,2,"4,7,9,10,12,15,18,19,22"
108.7780456,108.7780456,111.8581607,0.028315596,3.856905937,3.86,120.03,3.86,123.89,24,10,10,10,2,2,"6,7,12,14,15,17,18,19,22,24"
111.1565238,111.1565238,114.4866615,0.029958994,2.03552103,2.04,120.02,2.04,122.06,24,10,10,10,2,2,"2,4,7,8,9,12,14,15,18,19"
109.6718596,109.6718596,112.9453288,0.02984785,2.508491039,2.51,120.01,2.51,122.52,24,10,10,10,2,2,"8,9,10,12,14,15,17,18,24,25"
110.212301,110.212301,113.4973327,0.029806398,3.638774872,3.64,120.01,3.64,123.65,24,10,10,10,2,2,"2,4,6,8,9,14,15,17,19,24"
109.3915613,109.3915613,112.6326705,0.029628512,4.788064957,4.79,120.02,4.79,124.81,24,10,10,10,2,2,"4,6,8,9,10,12,15,16,17,24"
108.5390625,108.5390625,111.4616635,0.026926721,5.038415194,5.04,120.01,5.04,125.05,24,10,11,11,2,2,"2,6,7,8,9,10,12,14,16,25"
111.106672,111.106672,114.382284,0.029481686,1.954232931,1.95,120.03,1.95,121.98,24,10,10,10,2,2,"2,4,7,8,12,14,16,19,24,25"
111.3453883,111.3453883,114.6819287,0.029965681,1.129055023,1.13,120.04,1.13,121.17,24,10,10,10,2,2,"2,4,7,10,14,15,16,17,24,25"
108.5262334,108.5262334,111.6603603,0.02887898,4.140221119,4.14,120.03,4.14,124.17,24,10,11,11,2,2,"2,4,8,9,10,12,16,18,19,24"
108.3979928,108.3979928,111.4253954,0.027928586,2.348046064,2.35,120.01,2.35,122.36,24,10,11,11,2,2,"4,6,7,9,10,16,17,18,19,25"
110.6399596,110.6399596,113.9328142,0.029761893,1.857454062,1.86,120.05,1.86,121.91,24,10,10,10,2,2,"2,7,10,12,14,15,18,22,24,25"
