total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
116.6686271,116.6686269,119.6318628,0.025398738,0.700760841,0.7,0.195355823,5,5,5,2,2,"6,7,14,16,25"
118.0231241,118.0231238,119.6188251,0.013520242,0.415899038,0.42,0.234408252,5,5,5,2,2,"2,9,16,18,24"
118.537226,118.5372258,119.5994791,0.008961348,0.795499802,0.8,0.227614237,5,5,5,2,2,"7,8,15,16,25"
115.4479512,115.447951,118.8653049,0.02960082,4.297073841,4.3,0.269891422,5,6,7,2,2,"9,12,14,22,25"
116.0760526,116.0760524,119.5405795,0.029847044,0.735736132,0.74,0.182745415,5,5,5,2,2,"2,6,8,10,18"
118.4352116,118.4352113,120.04564,0.013597549,0.70675087,0.71,0.274535599,5,5,5,2,2,"2,7,15,16,24"
117.8681336,117.8681334,119.3949994,0.012954019,0.733098984,0.73,0.193254026,5,5,5,2,2,"4,8,12,16,22"
117.4450335,117.4450333,118.8721197,0.012151101,0.746424913,0.75,0.22658736,5,5,5,2,2,"6,10,15,17,22"
116.8230501,116.8230499,119.3628135,0.021740262,0.700910091,0.7,0.271411586,5,5,5,2,2,"7,8,12,24,25"
116.6515627,116.6515625,118.7892713,0.018325591,3.613950014,3.61,0.177704628,5,5,6,2,2,"8,9,12,14,17"
117.7868437,117.7868435,119.2288928,0.012242872,0.42407012,0.42,0.2088004,5,5,5,2,2,"6,7,10,16,19"
115.4280787,115.4280784,117.9921528,0.02221361,0.593001127,0.59,0.264617572,6,6,6,2,2,"8,12,14,18,19,24"
117.071123,117.0711227,118.9643186,0.016171331,0.830608845,0.83,0.263542653,6,6,6,2,2,"2,4,9,12,14,19"
115.5909024,115.5909022,118.5479389,0.025581916,6.425114155,6.43,0.242277184,6,6,6,2,2,"7,8,10,14,15,16"
117.6840214,117.6840212,119.5732094,0.016053056,0.750833035,0.75,0.221676051,6,6,6,2,2,"2,6,8,9,15,25"
117.4182333,117.4182331,119.3849099,0.016749331,0.512281895,0.51,0.2,6,6,6,2,2,"2,6,7,9,19,24"
115.9586003,115.9586001,118.0443553,0.017987068,2.538588047,2.54,0.244016439,6,6,6,2,2,"9,14,15,17,19,24"
117.4913783,117.4913781,118.8467305,0.011535761,0.696530819,0.7,0.21747712,6,6,6,2,2,"4,7,9,14,15,19"
115.2645862,115.264586,118.6565848,0.029427936,0.398281813,0.4,0.215594414,6,6,6,2,2,"2,7,10,12,14,22"
116.353169,116.3531688,118.535271,0.018754128,3.34714818,3.35,0.234408252,6,6,6,2,2,"7,9,15,19,22,24"
115.3376798,115.3376795,118.7156072,0.029287287,0.559410095,0.56,0.268816503,6,6,6,2,2,"2,7,10,17,24,25"
117.1991464,117.1991462,119.1385438,0.016547882,0.596023798,0.6,0.228689156,6,6,6,2,2,"4,6,8,9,18,25"
116.4449797,116.4449795,118.8248016,0.02043731,0.501420021,0.5,0.216078748,6,6,6,2,2,"2,4,9,10,14,18"
115.4728754,115.4728751,118.1212036,0.022934637,15.07318401,15.07,0.328689156,6,7,7,2,2,"7,10,15,16,22,25"
116.7211958,116.7211956,118.6297613,0.016351492,4.422918081,4.42,0.241202266,6,6,6,2,2,"7,9,10,12,16,24"
116.8609974,116.8609971,119.0485468,0.018719245,0.714784861,0.71,0.241202266,6,6,6,2,2,"4,6,8,12,18,24"
116.3063709,116.3063707,119.0993163,0.024013694,0.405328989,0.41,0.214882037,6,6,6,2,2,"2,7,8,9,17,24"
115.8747342,115.874734,118.9023462,0.026128321,5.669945002,5.67,0.288561808,6,7,7,2,2,"4,7,14,15,18,25"
116.5558419,116.5558417,118.8587415,0.01975791,0.668418884,0.67,0.230693654,6,6,6,2,2,"4,9,12,15,18,24"
115.6199523,115.619952,118.9078645,0.028437242,5.326399088,5.33,0.344427021,6,6,7,2,2,"2,4,10,18,24,25"
117.078077,117.0780768,118.9001108,0.015562556,5.526640892,5.53,0.208943851,6,6,6,2,2,"4,8,9,15,16,19"
114.5079232,114.507923,117.8128328,0.028861844,2.498732805,2.5,0.249071198,7,7,7,2,2,"6,7,10,12,17,22,24"
114.6011518,114.6011515,118.0229586,0.029858401,1.848804951,1.85,0.285703039,7,7,7,2,2,"4,9,12,18,22,24,25"
114.8356571,114.8356568,117.9001969,0.026686312,0.869790077,0.87,0.34821537,7,7,7,2,2,"4,8,15,17,19,24,25"
114.514907,114.5149068,117.6117805,0.027043411,0.857897997,0.86,0.219793345,7,7,7,2,2,"6,9,10,12,14,18,22"
112.3045517,112.3045515,115.6464233,0.029757225,44.78939199,44.79,0.263542653,7,7,7,2,2,"14,16,17,18,19,22,25"
115.4749686,115.4749683,118.4116715,0.025431513,5.255194902,5.26,0.315956955,7,7,7,2,2,"2,4,9,18,19,24,25"
114.2605139,114.2605136,117.3163825,0.02674475,7.463435888,7.46,0.250810453,7,7,7,2,2,"6,9,10,14,17,22,24"
115.0423978,115.0423975,118.1821682,0.027292292,0.59986496,0.6,0.271411586,7,7,7,2,2,"4,8,9,14,16,22,24"
114.1706793,114.170679,117.5295622,0.029419841,8.30879283,8.31,0.263542653,7,7,7,2,2,"6,15,16,17,18,22,25"
115.1113741,115.1113739,118.269054,0.027431521,6.218224049,6.22,0.240394478,7,7,7,2,2,"4,6,12,16,19,22,25"
