total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
120.43187370536502,120.43187370536502,120.71856670770694,0.0023805409109826747,0.6991369724273682,0.7,24.0,3,3,3,2,2,"4,8,16"
120.90446545353058,120.90446545353058,121.13186973820402,0.0018808592703372297,0.3881239891052246,0.39,24.0,3,3,3,2,2,"2,4,9"
119.84915803035604,119.84915803035604,120.04490876804505,0.0016333092439366978,0.3826010227203369,0.38,24.0,3,3,3,2,2,"9,12,19"
120.39946041866058,120.39946041866058,120.5666456116538,0.0013885875602089005,0.3923919200897217,0.39,24.0,3,3,3,2,2,"6,14,15"
120.82072253292532,120.82072253292532,121.04352189701386,0.0018440492609024788,0.38681697845458984,0.39,24.0,3,3,3,2,2,"2,4,12"
119.95123850399814,119.95123850399814,120.09440174776228,0.001193512009960311,0.3900759220123291,0.39,24.0,3,3,3,2,2,"7,14,17"
120.46449588673178,120.46449588673178,120.60916321559567,0.0012009125825746562,0.3880729675292969,0.39,24.0,3,3,3,2,2,"2,18,25"
120.0004335743032,120.0004335743032,120.22522697472188,0.0018732715684688418,0.6975769996643066,0.7,24.0,3,3,3,2,2,"8,9,18"
119.58433143634316,119.58433143634316,120.05521750092174,0.003937690322157631,0.702387809753418,0.7,24.0,3,3,3,2,2,"4,17,19"
119.84770595422496,119.84770595422496,120.02645860215915,0.0014914982853527676,0.7034859657287598,0.7,24.0,3,3,3,2,2,"8,10,25"
117.67460843274178,117.67460843274178,120.76473085806758,0.026259891292453257,4.429785966873169,4.43,24.0,3,3,5,2,2,"4,6,14"
119.44699952000678,119.44699952000678,119.87619960867673,0.0035932262040458806,0.702441930770874,0.7,24.0,4,4,4,2,2,"7,16,18,24"
117.98348319849175,117.98348319849175,119.1813338815293,0.010152698077427642,0.7044310569763184,0.7,24.0,4,4,4,2,2,"9,10,14,18"
115.91196525552351,115.91196525552351,119.35709883645808,0.02972198403624596,5.0367021560668945,5.04,24.0,4,5,6,2,2,"10,15,16,19"
117.82376418074097,117.82376418074097,118.99632124498281,0.009951787505644002,0.7125191688537598,0.71,24.0,4,4,4,2,2,"10,14,19,24"
118.6823917192538,118.6823917192538,119.70769323596443,0.00863903652309269,0.39868593215942383,0.4,24.0,4,4,4,2,2,"6,10,15,18"
118.39899058367982,118.39899058367982,119.4636015154875,0.008991723042226889,0.697890043258667,0.7,24.0,4,4,4,2,2,"9,18,22,24"
118.19089294225472,118.19089294225472,119.32870701527824,0.009626918324235264,0.702117919921875,0.7,24.0,4,4,4,2,2,"9,10,22,24"
118.05914552070765,118.05914552070765,120.28807630397054,0.01887978075253764,0.7125990390777588,0.71,24.0,4,4,4,2,2,"4,6,16,22"
118.91340158915806,118.91340158915806,119.68904825175963,0.006522785928548304,5.295850038528442,5.3,24.0,4,4,4,2,2,"9,10,15,16"
118.93316726369737,118.93316726369737,119.53277843582026,0.005041580796326056,0.7086400985717773,0.71,24.0,4,4,4,2,2,"7,8,10,22"
119.50013058197791,119.50013058197791,119.92009012762033,0.0035143019810703747,0.6911070346832275,0.69,24.0,4,4,4,2,2,"2,17,24,25"
118.83305206432738,118.83305206432738,119.6016248286007,0.006467668303741636,0.39028406143188477,0.39,24.0,4,4,4,2,2,"2,10,14,18"
118.75370709663034,118.75370709663034,120.46199448444611,0.014385128932654985,0.6928670406341553,0.69,24.0,4,4,4,2,2,"2,6,16,22"
118.06140686772167,118.06140686772167,119.98561323252432,0.016298351983544984,0.38820910453796387,0.39,24.0,4,4,4,2,2,"2,9,17,25"
117.75537682484804,117.75537682484804,118.88601848628304,0.009601613887378868,0.7113771438598633,0.71,24.0,4,4,4,2,2,"10,17,19,25"
118.66535747811633,118.66535747811633,119.4203900895761,0.00636270456269436,4.360445022583008,4.36,24.0,4,4,4,2,2,"7,8,10,17"
119.99918218781733,119.99918218781733,120.35584903526163,0.0029722439848470224,0.4094359874725342,0.41,24.0,4,4,4,2,2,"2,6,15,19"
119.01317356715288,119.01317356715288,119.57629265943073,0.004731569417062222,0.39937806129455566,0.4,24.0,4,4,4,2,2,"4,10,14,25"
119.63261425545048,119.63261425545048,120.10916311037633,0.003983435937530225,0.704413890838623,0.7,24.0,4,4,4,2,2,"6,7,15,17"
117.82670811523666,117.82670811523666,120.67342381331791,0.02416019036445553,3.081882953643799,3.08,24.0,4,4,6,2,2,"2,4,6,14"
116.58276640602847,116.58276640602847,119.49559215340314,0.02498504570761367,5.488587141036987,5.49,24.0,5,5,6,2,2,"2,6,12,19,22"
116.7671908992184,116.7671908992184,119.38308603448618,0.022402655361689335,0.8121650218963623,0.81,24.0,5,5,5,2,2,"2,6,10,19,24"
117.71581444552709,117.71581444552709,119.14791278346264,0.012165725944989823,0.5309510231018066,0.53,24.0,5,5,5,2,2,"2,16,17,18,22"
118.07864658640116,118.07864658640116,119.2434875540983,0.009864958664179703,0.4368419647216797,0.44,24.0,5,5,5,2,2,"7,9,10,15,24"
117.4405579735186,117.4405579735186,118.6798559234864,0.01055255502317396,0.4137711524963379,0.41,24.0,5,5,5,2,2,"12,14,19,24,25"
116.80423361754205,116.80423361754205,118.87191032294264,0.01770206987677248,0.3890841007232666,0.39,24.0,5,5,5,2,2,"6,10,18,22,25"
117.97653294872578,117.97653294872578,119.3916642694619,0.011995023801480573,0.4313199520111084,0.43,24.0,5,5,5,2,2,"6,12,15,22,25"
116.57130588748261,116.57130588748261,118.81068474279284,0.01921037804510603,0.41179609298706055,0.41,24.0,5,5,5,2,2,"16,17,22,24,25"
116.31993586944901,116.31993586944901,119.73460250782044,0.02935581603315067,0.7304949760437012,0.73,24.0,5,5,5,2,2,"2,6,7,10,22"
118.89394476390373,118.89394476390373,119.63186280000016,0.006206523280573861,0.8151528835296631,0.82,24.0,5,5,5,2,2,"6,7,14,16,25"
117.56337461511315,117.56337461511315,119.61882508213316,0.017483765447778955,0.705604076385498,0.71,24.0,5,5,5,2,2,"2,9,16,18,24"
117.34913839433749,117.34913839433749,119.59947908709145,0.01917645688366258,6.415365934371948,6.42,24.0,5,5,6,2,2,"7,8,15,16,25"
116.39421378067186,116.39421378067186,118.86530491502677,0.021230360634690335,6.908431053161621,6.91,24.0,5,6,6,2,2,"9,12,14,22,25"
118.08252515485451,118.08252515485451,119.54057950487683,0.012347757198706727,0.42852783203125,0.43,24.0,5,5,5,2,2,"2,6,8,10,18"
118.78079301997312,118.78079301997312,120.04563996776818,0.010648581438434905,0.755194902420044,0.76,24.0,5,5,5,2,2,"2,7,15,16,24"
116.13258034784599,116.13258034784599,119.39499935420946,0.028092194254116423,0.40387392044067383,0.4,24.0,5,5,5,2,2,"4,8,12,16,22"
116.31083264503991,116.31083264503991,118.87211972422789,0.0220210535935597,4.108734846115112,4.11,24.0,5,5,5,2,2,"6,10,15,17,22"
116.25223990252934,116.25223990252934,119.36281353808505,0.026757107116075724,0.7532088756561279,0.75,24.0,5,5,5,2,2,"7,8,12,24,25"
116.65518874283715,116.65518874283715,118.78927127498022,0.01829393578752497,6.135980844497681,6.14,24.0,5,5,6,2,2,"8,9,12,14,17"
116.38386016406136,116.38386016406136,119.22889275684281,0.024445250301639156,0.8093631267547607,0.81,24.0,5,5,5,2,2,"6,7,10,16,19"
114.74044263579367,114.74044263579367,117.99215275420391,0.02833970345339998,0.7242178916931152,0.72,24.0,6,6,6,2,2,"8,12,14,18,19,24"
116.42830293792225,116.42830293792225,118.96431862259003,0.021781780036937735,0.7150380611419678,0.72,24.0,6,6,6,2,2,"2,4,9,12,14,19"
116.03086610007995,116.03086610007995,118.59194070009647,0.022072356141921105,1.4222071170806885,1.42,24.0,6,6,6,2,2,"7,8,10,14,15,16"
