total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_jobs_arrived,number_of_job_processed,number_of_initial_fires,initial_fire_node_IDs
8.864236911,8.864231361,9.464587761,0.06772797,3600.363698,3600.37,5.55,11,11,7,"7,8,11,14,15,22,25"
9.047367361,9.047361791,9.508982585,0.051022696,3600.298141,3600.3,5.569999926,10,10,7,"6,7,11,14,15,22,25"
9.482432777,9.482427827,9.558995574,0.008074699,3600.053083,3600.06,4.95,9,9,7,"2,7,15,18,20,24,25"
9.033662525,9.033656905,9.566000855,0.058928954,3600.134369,3600.14,5.619999,10,10,7,"2,6,10,11,20,23,25"
9.298385717,9.298381627,9.6279853,0.035447424,3600.336049,3600.34,4.089999,8,8,7,"3,6,7,8,10,11,20"
9.053407273,9.053401633,9.540454407,0.053797765,3600.109219,3600.11,5.64,10,10,7,"4,7,11,15,18,20,24"
9.587938182,9.587933542,9.588850149,9.56E-05,2705.504857,2705.51,4.64,8,8,7,"2,14,15,19,20,24,25"
9.44072,9.44071579,9.46757854,0.002845415,3600.102795,3600.11,4.21,7,7,7,"2,6,10,11,15,22,23"
9.755767273,9.755762103,9.756704302,9.66E-05,387.3813801,387.38,5.17,8,8,7,"2,3,7,8,15,24,25"
8.339032872,8.339026612,9.441284104,0.132180594,3600.129933,3600.14,6.26,12,12,8,"2,8,10,11,18,19,24,25"
8.503582368,8.503576208,9.615879641,0.130804194,3600.305069,3600.31,6.159999087,12,12,8,"3,4,6,7,8,14,19,23"
8.337473,8.33746707,9.562963821,0.146986698,3600.061773,3600.07,5.93,13,12,8,"2,6,7,8,18,19,22,25"
8.501094743,8.501088793,9.390307024,0.104600511,3600.384364,3600.39,5.95,12,12,8,"6,7,8,10,14,20,22,24"
8.450820891,8.450814751,9.4817398,0.121991202,3600.561237,3600.57,6.139955006,12,12,8,"4,8,11,15,18,19,23,25"
8.754491773,8.754486133,9.605184791,0.097172883,3600.243696,3600.25,5.639999,10,10,8,"2,4,18,19,20,22,23,25"
9.207851729,9.207846299,9.572615656,0.039615057,3600.043828,3600.05,5.429998244,10,10,8,"2,6,10,14,15,19,20,24"
8.32513867,8.32513272,9.5947128,0.15249968,3600.088458,3600.09,5.949999165,12,12,8,"2,3,7,8,10,11,15,19"
8.353982063,8.353975628,9.509155248,0.138279027,3600.126336,3600.13,6.434999739,12,12,8,"2,6,8,14,18,20,22,23"
8.774913545,8.774907905,9.52099424,0.085024976,3600.131583,3600.14,5.639999005,11,11,8,"2,7,10,14,22,23,24,25"
8.748353349,8.748347609,9.55378597,0.092067485,3600.369071,3600.37,5.739999538,11,11,8,"2,10,11,14,15,20,22,24"
8.396331071,8.396325121,9.572105636,0.140035134,3600.247983,3600.25,5.95,12,12,8,"3,4,7,10,11,18,24,25"
8.841313115,8.841307185,9.611442924,0.087106547,3600.211852,3600.22,5.929999551,11,11,8,"2,8,14,18,19,22,24,25"
8.520695118,8.520689378,9.547079692,0.1204586,3600.145375,3600.15,5.739999825,11,11,8,"2,3,11,14,15,18,20,23"
8.012236639,8.012230689,9.586373931,0.196467539,3600.076242,3600.08,5.949999725,12,12,8,"2,3,6,8,10,14,18,22"
8.465494987,8.465488517,9.616533779,0.135969148,3600.443119,3600.45,6.469999891,12,12,8,"2,4,7,14,15,19,22,24"
8.486593751,8.486588611,9.576166984,0.128388263,3600.173867,3600.18,5.14,10,10,8,"4,10,14,15,18,22,23,24"
