,total_value,total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_gurobi_time,clustering_python_time,total_python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
98%,93.0976688,95.03820816,93.09766823,102.0282038,0.095926522,1200.030674,1200.03,0.020639181,0.02,1200.05,0.578835262,16,16,16,2,2,"2,4,6,8,9,10,12,14,15,16,17,18,19,22,24,25"
97%,93.27525746,96.20748567,93.27525696,99.79784788,0.069928416,1200.056172,1200.06,0.038550854,0.04,1200.1,0.503224688,16,16,16,2,2,"2,4,7,8,9,10,12,14,15,16,17,18,19,22,24,25"
98%,91.41972915,93.05473868,91.41972857,100.2094494,0.096146871,1200.020484,1200.02,0.043300152,0.04,1200.06,0.578835199,16,16,16,2,2,"2,4,6,7,8,9,10,12,15,16,17,18,19,22,24,25"
97%,92.74083501,95.1695321,92.74083443,100.9252451,0.088250345,1200.013789,1200.01,0.038906813,0.04,1200.05,0.57883474,16,16,16,2,2,"2,4,6,7,8,10,12,14,15,16,17,18,19,22,24,25"
98%,93.11804967,95.32794176,93.11804916,99.34758771,0.066899367,1200.010258,1200.01,0.050140142,0.05,1200.06,0.503224425,16,16,16,2,2,"4,6,7,8,9,10,12,14,15,16,17,18,19,22,24,25"
97%,91.73634552,94.15249278,91.73634497,98.88024083,0.077874215,1200.032681,1200.03,0.027565002,0.03,1200.06,0.545501935,16,16,16,2,2,"2,6,7,8,9,10,12,14,15,16,17,18,19,22,24,25"
98%,90.38486229,92.42849727,90.38486171,101.308876,0.120861105,1200.167585,1200.17,0.045443058,0.05,1200.22,0.578605254,16,17,17,2,2,"2,4,6,7,8,9,10,12,14,15,16,17,18,19,22,25"
98%,92.61028683,94.79153016,92.61028629,99.06110993,0.069655585,1200.032989,1200.03,0.048112869,0.05,1200.08,0.532769739,16,16,16,2,2,"2,4,6,7,8,9,10,12,14,16,17,18,19,22,24,25"
97%,93.31986378,95.84812494,93.31986321,101.0385738,0.082712408,1200.016237,1200.02,0.023739815,0.02,1200.04,0.578834965,16,16,16,2,2,"2,4,6,7,9,10,12,14,15,16,17,18,19,22,24,25"
98%,93.11804967,95.32794176,93.11804916,99.35147512,0.066941114,1200.014923,1200.02,0.020380974,0.02,1200.04,0.503224425,16,16,16,2,2,"4,6,7,8,9,10,12,14,15,16,17,18,19,22,24,25"
99%,92.56880798,93.69970882,92.56880742,98.95760262,0.069016717,1200.017113,1200.02,0.031790018,0.03,1200.05,0.557159175,16,16,16,2,2,"2,4,6,7,8,9,12,14,15,16,17,18,19,22,24,25"
99%,94.69317927,95.9932268,94.69317877,99.32754316,0.048940847,1200.029061,1200.03,0.027795076,0.03,1200.06,0.504298257,16,16,16,2,2,"2,4,6,7,8,9,10,12,14,15,16,17,18,19,24,25"
97%,93.08023159,96.31398527,93.08023104,102.0007828,0.095837233,1200.026368,1200.03,0.03141284,0.03,1200.06,0.545501892,16,16,16,2,2,"2,4,6,7,8,9,10,12,14,15,16,17,19,22,24,25"
97%,93.17661638,96.37459436,93.1766158,100.620267,0.079887546,1200.043746,1200.04,0.041631937,0.04,1200.08,0.578835252,16,16,16,2,2,"2,4,6,7,8,9,10,12,14,15,16,18,19,22,24,25"
97%,90.38433509,93.19457028,90.38433451,99.74277605,0.103540526,1200.039776,1200.04,0.042093039,0.04,1200.08,0.578834882,17,17,17,2,2,"2,4,6,7,8,9,10,12,14,15,16,17,18,19,22,24,25"
