,total_value,total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_gurobi_time,clustering_python_time,total_python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
100%,114.2728705,114.5079232,114.2728702,117.6978718,0.029972133,5.838511944,5.84,0.020458937,0.02,5.86,0.24821537,7,7,7,2,2,"6,7,10,12,17,22,24"
100%,114.6306664,114.6011518,114.630666,118.0229586,0.029593238,3.153044939,3.15,0.018790007,0.02,3.17,0.366176824,7,7,7,2,2,"4,9,12,18,22,24,25"
100%,115.005709,114.8356571,115.0057087,117.9001969,0.025168214,2.620877028,2.62,0.003998995,0,2.62,0.362022489,7,7,7,2,2,"4,8,15,17,19,24,25"
98%,112.4669983,114.514907,112.4669979,115.8239591,0.02984841,9.422212124,9.42,0.020229816,0.02,9.44,0.323606798,7,8,8,2,2,"6,9,10,12,14,18,22"
99%,111.6252197,112.3045517,111.6252194,114.9615852,0.029888996,11.20491004,11.21,0.005390167,0.01,11.22,0.291156891,7,7,7,2,2,"14,16,17,18,19,22,25"
100%,115.1431633,115.4749686,115.143163,118.4116715,0.028386475,2.648010969,2.65,0.009346962,0.01,2.66,0.32275097,7,7,7,2,2,"2,4,9,18,19,24,25"
99%,113.3265286,114.2605139,113.3265283,116.7244923,0.029983835,5.59610486,5.6,0.008862019,0.01,5.61,0.283820333,7,7,7,2,2,"6,9,10,14,17,22,24"
100%,115.2079928,115.0423978,115.2079925,118.1821682,0.025815706,3.368612051,3.37,0.031375885,0.03,3.4,0.249071198,7,7,7,2,2,"4,8,9,14,16,22,24"
100%,113.8380689,114.1706793,113.8380686,117.2262258,0.029762954,5.847918987,5.85,0.01345396,0.01,5.86,0.263542653,7,7,7,2,2,"6,15,16,17,18,22,25"
98%,113.3184203,115.1113741,113.3184199,116.709517,0.029925382,9.818369865,9.82,0.01909399,0.02,9.84,0.390492555,7,8,8,2,2,"4,6,12,16,19,22,25"
100%,116.2708653,116.0071315,116.270865,119.2122492,0.025297689,0.351957083,0.35,0.010497808,0.01,0.36,0.215737865,7,7,7,2,2,"2,6,7,8,9,16,24"
99%,113.2355666,114.0963118,113.2355664,116.6317431,0.029992138,5.955178022,5.96,0.005584002,0.01,5.97,0.257281014,7,7,7,2,2,"7,10,14,16,17,18,22"
100%,115.6603158,115.7780084,115.6603156,118.8648949,0.027706818,2.393336058,2.39,0.010511875,0.01,2.4,0.242277184,7,7,7,2,2,"2,6,7,8,10,16,24"
99%,113.9858767,115.1905921,113.9858765,117.3997668,0.029950117,7.123400927,7.12,0.019768,0.02,7.14,0.255009385,7,8,8,2,2,"2,6,12,14,15,18,19"
100%,115.674993,115.6886598,115.6749928,118.300531,0.022697544,2.398496866,2.4,0.019931078,0.02,2.42,0.208943851,7,7,7,2,2,"6,7,12,14,15,16,19"
97%,112.1855758,115.3460622,112.1855754,115.5426894,0.029924649,17.97966695,17.98,0.006596804,0.01,17.99,0.388609849,7,8,8,2,2,"2,7,12,15,22,24,25"
99%,110.9409724,112.5547808,110.9409721,114.1251422,0.02870148,17.81623793,17.82,0.024355888,0.02,17.84,0.341202266,7,8,8,2,2,"9,10,12,14,16,19,25"
98%,112.3627965,114.6741304,112.3627962,115.7306402,0.029972946,7.488438845,7.49,0.021933079,0.02,7.51,0.267741585,7,8,8,2,2,"7,8,12,14,15,18,19"
99%,113.851274,114.4713686,113.8512738,117.0887063,0.028435628,5.798994064,5.8,0.034189939,0.03,5.83,0.207868933,7,7,7,2,2,"2,6,9,10,14,17,19"
100%,115.875317,116.1691391,115.8753167,118.6469931,0.023919472,2.006561995,2.01,0.018700123,0.02,2.03,0.269891422,7,7,7,2,2,"2,6,8,12,14,24,25"
97%,110.2209543,113.417365,110.220954,113.4970762,0.029723225,17.04730511,17.05,0.013656139,0.01,17.06,0.317031874,8,9,9,2,2,"2,6,7,9,14,18,19,25"
91%,103.2843933,113.5541552,103.2843928,106.3643095,0.029819769,160.6080551,160.61,0.016274929,0.02,160.63,0.455009385,8,12,12,2,2,"6,8,9,10,14,16,18,24"
99%,112.2017318,113.7124939,112.2017316,115.5412436,0.029763462,7.474643946,7.47,0.025929928,0.03,7.5,0.228689156,8,8,8,2,2,"2,6,7,9,12,14,17,18"
98%,112.5803141,114.5783254,112.5803138,115.9461476,0.029897179,11.84517694,11.85,0.02419281,0.02,11.87,0.315737865,8,9,9,2,2,"2,4,6,8,9,10,14,16"
96%,108.4123143,113.2783899,108.4123139,111.6556632,0.029916799,58.38524795,58.39,0.019711018,0.02,58.41,0.423825888,8,10,10,2,2,"6,8,10,12,18,22,24,25"
99%,112.7241997,113.8066051,112.7241994,116.1009688,0.029956029,6.652362108,6.65,0.023968935,0.02,6.67,0.317031874,8,8,8,2,2,"2,9,12,14,17,19,24,25"
97%,108.6811686,112.4966585,108.6811682,111.9083694,0.029694208,60.93005896,60.93,0.018414974,0.02,60.95,0.334456292,8,9,9,2,2,"2,10,12,15,16,18,22,24"
97%,110.1020445,113.909224,110.1020441,113.3586249,0.029577841,17.36824918,17.37,0.023032188,0.02,17.39,0.376904526,8,9,9,2,2,"2,7,9,10,14,22,24,25"
97%,110.2794889,113.7114122,110.2794886,113.5875635,0.029997192,18.72265816,18.72,0.004479885,0,18.72,0.296211651,8,9,9,2,2,"2,8,9,10,14,16,18,24"
94%,106.0063784,112.8778762,106.006378,109.1831851,0.029968075,844.54109,844.54,0.01644516,0.02,844.56,0.351885371,8,10,10,2,2,"6,7,9,14,15,17,18,25"
99%,109.9314201,111.0541658,109.9314198,113.2154349,0.029873308,22.41425681,22.41,0.018950939,0.02,22.43,0.316812784,8,9,9,2,2,"2,10,12,15,16,18,19,24"
97%,111.5532344,114.7950615,111.5532341,114.8507426,0.029559955,14.04481888,14.04,0.038947821,0.04,14.08,0.30496401,8,8,8,2,2,"2,4,6,7,9,14,17,19"
99%,110.4806569,111.7178558,110.4806565,113.7748343,0.029816783,20.93003201,20.93,0.020133018,0.02,20.95,0.343352103,8,9,9,2,2,"6,10,12,14,16,17,22,25"
