total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_gurobi_time,clustering_python_time,total_python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.14848166246647,121.14848151339527,121.14848151339527,0.0,0.01810479164123535,0.02,0.006947040557861328,0.01,0.03,0.14907119849998746,2,2,2,2,2,"7,15"
120.73458806596436,120.73458791689316,120.73458791689316,0.0,0.017349958419799805,0.02,0.017104148864746094,0.02,0.04,0.14907119849998507,2,2,2,2,2,"14,15"
121.01659738590138,121.01659719733956,121.01659719733956,0.0,0.018446922302246094,0.02,0.004909038543701172,0.01,0.03,0.18856180831641467,2,2,2,2,2,"7,25"
120.81106325995871,120.8110630713969,120.8110630713969,0.0,0.17252898216247559,0.17,0.00447392463684082,0.0,0.17,0.18856180831641145,2,2,2,2,2,"8,25"
120.95394517475931,120.95394505457426,120.95394505457426,0.0,0.03997683525085449,0.04,0.004597902297973633,0.0,0.04,0.12018504251545747,2,2,2,2,2,"4,18"
120.69369346875992,120.6936933258184,121.4887887335477,0.00658771296013698,0.1371610164642334,0.14,0.015939950942993164,0.02,0.16,0.14294152037568908,2,2,3,2,2,"4,6"
120.976566538234,120.97656640079714,120.97656640079714,0.0,0.01777195930480957,0.02,0.0220491886138916,0.02,0.04,0.13743685418725704,2,2,2,2,2,"6,22"
117.37478547854786,117.3747853118812,120.84740703910042,0.029585755731028424,0.06173300743103027,0.06,0.012184858322143555,0.01,0.06999999999999999,0.1666666666666643,2,2,1,2,1,"24,25"
120.35236020576137,120.35236008557632,120.35236008557632,0.0,0.044695138931274414,0.04,0.013000965118408203,0.01,0.05,0.12018504251545392,2,2,2,2,2,"14,17"
121.02709971568676,121.0270996102775,121.0270996102775,0.0,0.017882823944091797,0.02,0.013208150863647461,0.01,0.03,0.10540925533894807,2,2,2,2,2,"2,17"
120.83171055465704,120.83171036609522,120.83171036609522,0.0,0.018550872802734375,0.02,0.006941080093383789,0.01,0.03,0.18856180831641467,2,2,2,2,2,"9,25"
121.18295194001705,121.18295183460779,121.18295183460779,0.0,0.11533188819885254,0.12,0.010319948196411133,0.01,0.13,0.1054092553389454,2,2,2,2,2,"4,9"
120.56071967632077,120.56071957091152,120.56071957091152,0.0,0.018645048141479492,0.02,0.006816864013671875,0.01,0.03,0.10540925533894407,2,2,2,2,2,"8,17"
117.94592667210215,117.94592647210214,120.79928757042285,0.0241921122981353,0.25623607635498047,0.26,0.01603102684020996,0.02,0.28,0.19999999999999757,2,2,4,2,2,"16,22"
120.94294753652383,120.94294738745263,120.94294738745263,0.0,0.0386660099029541,0.04,0.0073549747467041016,0.01,0.05,0.1490711984999844,2,2,2,2,2,"8,15"
118.19587112226144,118.1958709271247,120.45332070540178,0.01909922707595208,0.7779500484466553,0.78,0.005789041519165039,0.01,0.79,0.19513673220832195,3,3,5,2,2,"7,16,18"
119.83622858529472,119.83622838841873,120.18765939096761,0.002932593984932535,0.05904102325439453,0.06,0.021227121353149414,0.02,0.08,0.19687598666734973,3,3,3,2,2,"9,22,24"
120.14768418703879,120.14768401250319,120.14768401250319,0.0,0.02320098876953125,0.02,0.010132074356079102,0.01,0.03,0.1745355992499924,3,3,3,2,2,"6,10,24"
119.74605270532929,119.74605255327754,120.03596679081241,0.0024210755290316075,0.02162480354309082,0.02,0.007854938507080078,0.01,0.03,0.15205176042696267,3,3,3,2,2,"4,10,18"
120.06370782185634,120.06370767891482,120.3871669162233,0.002694063373200945,0.20331406593322754,0.2,0.021440982818603516,0.02,0.22,0.1429415203756895,3,3,3,2,2,"4,9,17"
118.57147040152005,118.57147021506003,120.49127528030976,0.01619112136981746,0.14193105697631836,0.14,0.0075740814208984375,0.01,0.15000000000000002,0.186460012131058,3,3,4,2,2,"6,8,22"
120.53360592275445,120.53360577070269,120.76516721306146,0.0019211359427783055,0.052301883697509766,0.05,0.006577014923095703,0.01,0.060000000000000005,0.15205176042695961,3,3,3,2,2,"4,6,22"
119.73414068884314,119.7341405271832,120.72715257849273,0.00829347458408566,0.1541900634765625,0.15,0.0327908992767334,0.03,0.18,0.16165994746931608,3,3,3,2,2,"2,7,17"
119.92811474317703,119.92811460175568,120.08686420737007,0.001323706339764847,0.2450239658355713,0.25,0.0074198246002197266,0.01,0.26,0.14142135623730906,3,3,3,2,2,"7,14,19"
119.4920761490148,119.49207598127322,120.71856670770694,0.010264201340228948,0.17081594467163086,0.17,0.0026581287384033203,0.0,0.17,0.16774158503742287,3,3,4,2,2,"4,8,16"
120.90446545353062,120.90446532019729,121.13186973820403,0.0018808603752102592,0.19749999046325684,0.2,0.009351968765258789,0.01,0.21000000000000002,0.13333333333332453,3,3,3,2,2,"2,4,9"
